Raw 0x113eaa1e  Time:  289319454;  DifTime: 240
Raw 0x113eab0d  Time:  289319693;  DifTime: 239
Raw 0x113eabfa  Time:  289319930;  DifTime: 237
Raw 0x113eace8  Time:  289320168;  DifTime: 238
Raw 0x113eadd7  Time:  289320407;  DifTime: 239
Raw 0x113eaec6  Time:  289320646;  DifTime: 239
Raw 0x113eafb3  Time:  289320883;  DifTime: 237
Raw 0x113eb09f  Time:  289321119;  DifTime: 236
Raw 0x113eb18b  Time:  289321355;  DifTime: 236
Raw 0x113eb278  Time:  289321592;  DifTime: 237
Raw 0x113eb366  Time:  289321830;  DifTime: 238
Raw 0x113eb482  Time:  289322114;  DifTime: 284
Raw 0x113eb579  Time:  289322361;  DifTime: 247
Raw 0x113eb662  Time:  289322594;  DifTime: 233
Raw 0x113eb745  Time:  289322821;  DifTime: 227
Raw 0x113eb82e  Time:  289323054;  DifTime: 233
Raw 0x113eb915  Time:  289323285;  DifTime: 231
Raw 0x113eb9f8  Time:  289323512;  DifTime: 227
Raw 0x113ebae2  Time:  289323746;  DifTime: 234
Raw 0x113ebbc9  Time:  289323977;  DifTime: 231
Raw 0x113ebcb0  Time:  289324208;  DifTime: 231
Raw 0x113ebd99  Time:  289324441;  DifTime: 233
Raw 0x113ebe81  Time:  289324673;  DifTime: 232
Raw 0x113ebf66  Time:  289324902;  DifTime: 229
Raw 0x113ec050  Time:  289325136;  DifTime: 234
Raw 0x113ec135  Time:  289325365;  DifTime: 229
Raw 0x113ec21b  Time:  289325595;  DifTime: 230
Raw 0x113ec306  Time:  289325830;  DifTime: 235
Raw 0x113ec3ec  Time:  289326060;  DifTime: 230
Raw 0x113ec4d2  Time:  289326290;  DifTime: 230
Raw 0x113ec621  Time:  289326625;  DifTime: 335
Raw 0x113ec709  Time:  289326857;  DifTime: 232
Raw 0x113ec81d  Time:  289327133;  DifTime: 276
Raw 0x113ec907  Time:  289327367;  DifTime: 234
Raw 0x113ec9ed  Time:  289327597;  DifTime: 230
